Event.Nr CDA.nSCR CDA.Latency CDA.AmpSum CDA.SCR CDA.ISCR CDA.PhasicMax CDA.Tonic TTP.nSCR TTP.Latency TTP.AmpSum Global.Mean Global.MaxDeflection Event.Name EmoId ExpId VideoId ParticipantId OverUnder Participant Sex Age Language RepId
1 1 2.688 0.1513 0.0194 0.9299 0.6068 2.3268 1 1.75 0.1493 2.3854 0.1297 1 anger Ekm 1344 001m24ee o 1 m 24 ee 1
2 2 1.875 0.1333 0.0157 0.7525 0.4505 2.3396 1 1.375 0.113 2.3905 0.0954 2 happy Ekm 1344 001m24ee o 1 m 24 ee 1
3 1 2.687 0.1426 0.0177 0.8504 0.6879 2.3277 1 2.062 0.1265 2.3864 0.1127 3 sad Ekm 1344 001m24ee o 1 m 24 ee 1
4 1 3.688 0.0138 8e-4 0.0404 0.0867 2.3081 1 3.188 0.0401 2.3132 0.0054 4 neutral Ekm 1344 001m24ee o 1 m 24 ee 1
5 1 2.938 0.1354 0.0149 0.7132 0.8243 2.2849 1 2.688 0.1266 2.3079 0.0924 5 disgust Ekm 1344 001m24ee o 1 m 24 ee 1
6 1 1.5 0.0686 0.0086 0.4151 0.3537 2.2541 1 1.062 0.0346 2.3439 0.0351 6 fear Ekm 1344 001m24ee o 1 m 24 ee 1
7 1 3.438 0.062 0.007 0.3372 0.3477 2.2566 1 2.938 0.0507 2.3042 0.0291 7 surprise Ekm 1344 001m24ee o 1 m 24 ee 1
8 0 NA 0 0.0049 0.2372 0.4186 2.26 1 3.312 0.0932 2.2846 0.0105 5 disgust Ekm 1344 001m24ee o 1 m 24 ee 2
9 1 2.625 0.0195 0.0055 0.262 0.1509 2.1809 0 NA 0 2.2627 1e-4 6 fear Ekm 1344 001m24ee o 1 m 24 ee 2
10 1 3.625 0.071 0.0099 0.4751 0.5052 2.152 1 3.25 0.042 2.2977 0.0229 2 happy Ekm 1344 001m24ee o 1 m 24 ee 2
11 2 1 0.0808 0.0092 0.4408 0.4199 2.2036 1 2.687 0.1325 2.2225 0.0454 7 surprise Ekm 1344 001m24ee o 1 m 24 ee 2
12 1 2.937 0.0375 0.0067 0.3234 0.2539 2.2327 1 2.375 0.039 2.244 0.0344 3 sad Ekm 1344 001m24ee o 1 m 24 ee 2
13 1 3.125 0.0544 0.0058 0.2775 0.2778 2.224 1 2.75 0.042 2.2441 0.0295 1 anger Ekm 1344 001m24ee o 1 m 24 ee 2
14 1 3.312 0.0103 0.0012 0.0578 0.0963 2.1904 1 3.125 0.0333 2.1928 0.0059 4 neutral Ekm 1344 001m24ee o 1 m 24 ee 2
15 1 3.438 0.0646 0.0067 0.3202 0.3323 2.1868 1 2.563 0.0665 2.1949 0.0355 3 sad Ekm 1344 001m24ee o 1 m 24 ee 3
16 1 3.437 0.1275 0.0167 0.8032 0.7831 2.1828 1 2.375 0.1532 2.2171 0.0953 2 happy Ekm 1344 001m24ee o 1 m 24 ee 3
17 1 3.5 0.0605 0.006 0.2877 0.2745 2.1755 1 3.125 0.0377 2.2354 0.0155 1 anger Ekm 1344 001m24ee o 1 m 24 ee 3
18 3 1.562 0.0607 0.0069 0.3312 0.21 2.148 1 2.75 0.0161 2.2025 0.0204 4 neutral Ekm 1344 001m24ee o 1 m 24 ee 3
19 1 3.437 0.0426 0.0047 0.2275 0.2466 2.1578 1 2.437 0.1183 2.1676 0.0333 7 surprise Ekm 1344 001m24ee o 1 m 24 ee 3
20 1 3.687 0.0569 0.0051 0.2444 0.2754 2.1744 1 3.312 0.0299 2.2446 0.0101 5 disgust Ekm 1344 001m24ee o 1 m 24 ee 3
21 3 1.187 0.1383 0.0222 1.0641 1.1055 2.1183 2 1.312 0.0908 2.1536 0.0728 6 fear Ekm 1344 001m24ee o 1 m 24 ee 3
22 4 1.375 0.1086 0.0125 0.5994 0.3168 2.059 0 NA 0 2.1834 0.0423 1 anger Ekm 1344 001m24ee o 1 m 24 ee 4
23 2 3.25 0.1965 0.0225 1.0793 0.5053 2.0155 1 1.812 0.0756 2.2161 0.0555 4 neutral Ekm 1344 001m24ee o 1 m 24 ee 4
24 3 1.687 0.0697 0.0138 0.6646 0.3731 2.0062 2 1.25 0.0232 2.1854 0.0137 5 disgust Ekm 1344 001m24ee o 1 m 24 ee 4
25 2 1.75 0.0774 0 0 1.6971 2.0196 1 2.688 0.0382 2.1625 0.0164 7 surprise Ekm 1344 001m24ee o 1 m 24 ee 4
26 2 2.188 0.2217 0.0192 0.9225 2.5156 2.0008 1 2.125 0.1388 2.2422 0.1265 2 happy Ekm 1344 001m24ee o 1 m 24 ee 4
27 1 3 0.1338 0.019 0.9097 1.8011 2.0059 2 1.75 0.1415 2.2387 0.099 3 sad Ekm 1344 001m24ee o 1 m 24 ee 4
28 1 3.062 0.0164 0.0048 0.2317 0.6247 2.1251 0 NA 0 2.2174 0.0031 6 fear Ekm 1344 001m24ee o 1 m 24 ee 4
29 0 NA 0 0 0 0.0883 2.1748 1 3.563 0.0895 2.1984 0.0039 7 surprise Ekm 1344 001m24ee o 1 m 24 ee 5
30 1 3.5 0.0401 0.0038 0.1829 0.191 2.204 1 2.937 0.0247 2.2345 0.0136 2 happy Ekm 1344 001m24ee o 1 m 24 ee 5
31 2 1.562 0.0242 0.0046 0.2185 0.3004 2.1579 0 NA 0 2.2056 5e-4 6 fear Ekm 1344 001m24ee o 1 m 24 ee 5
32 2 2.75 0.0982 0.0057 0.2718 1.0267 2.0506 0 NA 0 2.2349 0.0097 4 neutral Ekm 1344 001m24ee o 1 m 24 ee 5
33 2 2.75 0.1582 0.029 1.3908 0.7854 1.9568 1 1.187 0.0563 2.2921 0.0502 5 disgust Ekm 1344 001m24ee o 1 m 24 ee 5
34 3 1.375 0.0999 0.013 0.6255 0.6983 2.0291 0 NA 0 2.2561 0.0401 3 sad Ekm 1344 001m24ee o 1 m 24 ee 5
